%Autor: Josu Barrutia, Facultad de Informática, UPV-EHU
%El siguiente dataset fue extraído de la API de https://www.worldweatheronline.com/weather-api/api/ en base a un proyecto de Minería de Datos
%
%Recoge los datos meteorológicos del año 2022 en Donosti, cada instancia está separada de la siguiente por tres horas
%
%Total de instancias: 2760
%Total de atributos: 13
%
%Variables predictoras:
% 1.tepmC temperatura en grados centígrados
% 2.windspeedKmph velocidad del viento en km/h
% 3.precip variable clase que indica si llueve (1) o no (0)
% 4.humidity humedad en %
% 5.visibility visibilidad en km
% 6.pressure presión en mb
% 7.cloudcover nubosidad en %
% 8.HeatIndexC índice de calor en grados centígrados
% 9.DewPointC punto de rocío en grados centígrados
% 10.WindChillC pérdida de calor que produce en el cuerpo una masa de aire frío en movimiento
% 11.WindGustKmph ráfagas de viento en km/h
% 12.FeelsLikeC sensación térmica en grados centígrados
% 13.uvIndex índice de radiación ultravioleta
%
%
%Si elegimos la variable precip como clase, podemos realizar una clasificación binaria para predecir si un día lloverá o no
%Un 75% de las instancias pertenecen a la clase 0 (no llueve) y un 25% a la clase 1 (llueve)
%
%
%
%
tempC,windspeedKmph,precip,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC,uvIndex
14,2,0,75,10,1027,0,14,10,14,3,14,1
9,6,0,80,10,1028,0,9,6,8,13,8,1
8,8,0,75,10,1027,2,8,4,7,17,7,1
8,8,0,74,10,1027,0,8,4,7,17,7,1
8,9,0,75,10,1027,0,8,3,6,19,6,3
9,9,0,74,10,1027,9,9,5,8,19,8,3
15,4,0,59,10,1027,7,15,7,15,4,15,5
14,8,0,65,10,1027,9,14,7,13,9,13,4
11,5,0,82,10,1027,24,11,8,11,8,11,1
9,4,0,93,10,1029,61,9,8,9,8,9,1
10,6,0,92,10,1029,100,10,8,9,9,9,1
9,4,1,97,9,1029,100,9,9,9,6,9,1
9,15,1,97,10,1029,100,9,8,6,23,6,2
8,14,1,94,9,1032,100,8,7,6,17,6,2
8,13,1,90,10,1034,98,8,6,5,15,5,2
8,10,1,81,10,1033,68,8,5,6,11,6,2
8,9,0,69,10,1032,37,8,3,7,10,7,1
6,8,0,77,10,1032,100,6,2,4,13,4,1
6,10,0,81,10,1030,47,6,3,4,16,4,1
5,7,0,81,10,1028,26,5,2,3,12,3,1
5,3,0,83,10,1027,47,5,2,4,5,4,2
4,6,0,84,10,1026,27,4,2,3,10,3,2
9,2,0,62,10,1025,32,9,2,9,3,9,3
12,2,0,50,10,1023,48,12,2,12,3,12,4
10,6,0,64,10,1021,7,10,4,9,11,9,1
7,10,0,67,10,1022,3,7,2,6,21,6,1
7,11,0,79,10,1022,3,7,4,5,23,5,1
7,12,0,79,10,1020,9,7,3,4,24,4,1
7,17,0,80,10,1017,6,7,4,4,36,4,3
9,21,0,77,10,1016,100,9,5,6,32,6,2
13,25,0,67,10,1013,8,13,7,11,29,11,4
15,22,0,60,10,1011,55,15,7,13,26,13,4
12,26,1,78,2,1011,89,12,8,10,37,10,1
10,19,1,94,9,1013,100,10,9,7,26,7,1
11,18,1,85,2,1013,100,11,8,9,27,9,1
8,18,1,88,9,1015,100,8,6,5,27,5,1
8,13,1,83,10,1015,68,8,5,5,21,5,2
7,9,1,85,10,1016,77,7,5,6,15,6,2
10,13,1,72,10,1016,82,10,6,9,15,9,3
9,24,1,83,10,1016,100,9,6,6,28,6,2
9,34,1,87,10,1018,98,9,7,6,49,6,1
8,29,1,86,10,1021,51,8,6,4,45,4,1
8,27,1,84,10,1025,85,8,6,5,50,5,1
8,26,1,83,10,1026,68,8,5,4,40,4,1
7,20,1,82,10,1027,72,7,5,4,35,4,2
8,16,1,84,10,1028,64,8,6,6,23,6,2
11,17,1,79,10,1029,56,11,7,8,23,8,3
11,18,0,81,10,1028,47,11,8,9,21,9,4
10,9,1,84,9,1029,73,10,7,9,12,9,1
7,8,0,86,10,1029,74,7,4,5,17,5,1
7,11,0,77,10,1026,49,7,3,5,23,5,1
8,10,0,70,10,1025,100,8,3,6,22,6,1
8,9,0,71,10,1025,100,8,3,6,18,6,2
10,11,0,72,10,1026,100,10,5,8,21,8,2
11,9,0,74,10,1027,100,11,7,10,16,10,3
12,7,0,73,10,1026,100,12,7,12,11,12,3
12,5,0,74,10,1027,79,12,8,12,9,12,1
11,6,0,77,10,1028,78,11,7,10,13,10,1
9,10,0,86,10,1028,44,9,7,7,21,7,1
10,8,0,84,10,1029,88,10,7,8,17,8,1
10,7,0,86,10,1029,100,10,8,9,14,9,2
11,8,0,87,10,1030,100,11,9,10,14,10,3
13,5,0,84,10,1030,100,13,10,13,7,13,3
15,3,0,74,10,1028,99,15,10,15,3,15,3
13,4,0,84,10,1027,45,13,10,13,6,13,1
9,7,0,91,10,1026,10,9,8,9,15,9,1
9,8,0,84,10,1021,4,9,6,8,17,8,1
9,10,0,79,10,1019,0,9,5,7,21,7,1
9,11,0,82,10,1017,2,9,6,7,23,7,3
10,9,0,82,10,1017,3,10,7,8,19,8,3
16,9,0,65,10,1019,6,16,10,16,10,16,5
14,12,0,74,10,1020,100,14,10,14,14,14,3
9,19,1,92,10,1023,100,9,8,6,28,6,1
8,16,1,92,10,1026,100,8,6,5,27,5,1
7,12,1,81,10,1026,89,7,4,4,22,4,1
7,14,1,82,10,1026,100,7,4,5,24,5,1
8,17,1,84,10,1026,100,8,6,5,22,5,2
8,12,1,82,10,1028,100,8,5,6,15,6,2
9,12,1,74,10,1029,81,9,5,7,16,7,2
10,13,0,61,10,1028,47,10,3,8,15,8,4
10,11,0,67,10,1028,12,10,4,8,13,8,1
6,7,0,78,10,1030,16,6,3,5,13,5,1
6,9,0,81,10,1030,24,6,3,4,16,4,1
5,9,0,80,10,1029,100,5,2,3,17,3,1
7,7,0,74,10,1029,100,7,3,6,13,6,2
8,8,0,75,10,1030,100,8,4,7,12,7,2
13,11,0,67,10,1030,45,13,7,12,13,12,4
13,13,0,71,10,1028,100,13,8,12,15,12,3
12,9,0,85,10,1029,54,12,9,11,10,11,1
8,8,0,92,10,1030,12,8,7,7,16,7,1
8,12,0,88,10,1031,35,8,6,6,24,6,1
7,11,0,89,10,1030,60,7,6,5,23,5,1
8,12,0,88,10,1030,100,8,6,6,22,6,2
10,13,1,90,2,1031,100,10,8,8,19,8,2
11,10,1,90,10,1032,93,11,9,10,13,10,3
12,9,1,89,10,1031,92,12,10,11,12,11,3
11,8,1,94,10,1031,73,11,10,10,10,10,1
8,6,0,90,10,1032,29,8,7,8,11,8,1
8,6,0,81,10,1034,73,8,5,7,11,7,1
8,5,0,82,10,1033,76,8,5,7,9,7,1
6,5,0,84,10,1033,15,6,4,5,11,5,3
7,7,0,85,10,1032,4,7,5,6,11,6,3
13,5,0,62,10,1031,2,13,6,13,5,13,4
14,7,0,56,10,1029,0,14,5,14,8,14,4
12,6,0,75,10,1028,0,12,8,12,8,12,1
7,6,0,80,10,1028,0,7,4,6,14,6,1
6,4,0,82,10,1032,58,6,3,6,9,6,1
7,5,0,78,10,1031,81,7,3,6,9,6,1
5,6,0,86,10,1029,10,5,3,4,12,4,3
8,6,0,85,10,1029,0,8,5,7,10,7,3
14,6,0,65,10,1025,0,14,7,14,7,14,4
16,6,0,60,10,1022,32,16,8,16,6,16,5
13,5,0,75,10,1021,46,13,9,13,8,13,1
9,9,0,78,10,1022,32,9,6,8,19,8,1
9,6,0,77,10,1023,99,9,5,8,12,8,1
8,7,0,76,10,1022,47,8,4,7,15,7,1
7,6,0,77,10,1023,6,7,3,6,14,6,3
9,6,0,78,10,1025,18,9,5,8,10,8,3
12,12,0,84,10,1027,81,12,9,10,14,10,3
